"sessionActivity","sessionNotes","HbO2","activity label","percentCycles: 0 to 200% (peak detection comparison percentage)","minutelyAvgScore: (average percent cycle value in minute)","flowScores: 10s cyclical buffer match closer to 0 closer match","timestampStart: unix","timestampStart: unix"
"","","533.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","526.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","529.0","writing","","","","",""
"","","551.0","writing","","","","",""
"","","524.0","writing","","","","",""
"","","522.0","writing","","","","",""
"","","509.0","writing","","","","",""
"","","522.0","writing","","","","",""
"","","513.0","writing","","","","",""
"","","519.0","writing","","","","",""
"","","509.0","writing","","","","",""
"","","510.0","writing","","","","",""
"","","519.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","532.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","529.0","writing","","","","",""
"","","535.0","writing","","","","",""
"","","530.0","writing","","","","",""
"","","528.0","writing","","","","",""
"","","523.0","writing","","","","",""
"","","525.0","writing","","","","",""
"","","475.0","writing","","","","",""
"","","512.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","517.0","writing","","","","",""
"","","533.0","writing","","","","",""
"","","531.0","writing","","","","",""
"","","524.0","writing","","","","",""
"","","517.0","writing","","","","",""
"","","537.0","writing","","","","",""
"","","539.0","writing","","","","",""
"","","523.0","writing","","","","",""
"","","524.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","523.0","writing","","","","",""
"","","528.0","writing","","","","",""
"","","520.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","535.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","520.0","writing","","","","",""
"","","535.0","writing","","","","",""
"","","544.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","545.0","writing","","","","",""
"","","536.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","533.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","509.0","writing","","","","",""
"","","525.0","writing","","","","",""
"","","488.0","writing","","","","",""
"","","512.0","writing","","","","",""
"","","531.0","writing","","","","",""
"","","527.0","writing","","","","",""
"","","535.0","writing","","","","",""
"","","536.0","writing","","","","",""
"","","551.0","writing","","","","",""
"","","539.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","554.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","541.0","writing","","","","",""
"","","553.0","writing","","","","",""
"","","532.0","writing","","","","",""
"","","516.0","writing","","","","",""
"","","557.0","writing","","","","",""
"","","576.0","writing","","","","",""
"","","529.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","557.0","writing","","","","",""
"","","574.0","writing","","","","",""
"","","529.0","writing","","","","",""
"","","538.0","writing","","","","",""
"","","570.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","546.0","writing","","","","",""
"","","559.0","writing","","","","",""
"","","543.0","writing","","","","",""
"","","554.0","writing","","","","",""
"","","571.0","writing","","","","",""
"","","562.0","writing","","","","",""
"","","563.0","writing","","","","",""
"","","542.0","writing","","","","",""
"","","556.0","writing","","","","",""
"","","558.0","writing","","","","",""
"","","472.0","writing","","","","",""
"","","539.0","writing","","","","",""
"","","575.0","writing","","","","",""
"","","573.0","writing","","","","",""
"","","546.0","writing","","","","",""
"","","544.0","writing","","","","",""
"","","584.0","writing","","","","",""
"","","531.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","584.0","writing","","","","",""
"","","592.0","writing","","","","",""
"","","599.0","writing","","","","",""
"","","569.0","writing","","","","",""
"","","585.0","writing","","","","",""
"","","588.0","writing","","","","",""
"","","567.0","writing","","","","",""
"","","543.0","writing","","","","",""
"","","544.0","writing","","","","",""
"","","566.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","554.0","writing","","","","",""
"","","550.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","550.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","532.0","writing","","","","",""
"","","532.0","writing","","","","",""
"","","533.0","writing","","","","",""
"","","538.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","549.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","557.0","writing","","","","",""
"","","555.0","writing","","","","",""
"","","533.0","writing","","","","",""
"","","546.0","writing","","","","",""
"","","548.0","writing","","","","",""
"","","552.0","writing","","","","",""
"","","538.0","writing","","","","",""
"","","537.0","writing","","","","",""
"","","533.0","writing","","","","",""
"","","528.0","writing","","","","",""
"","","532.0","writing","","","","",""
"","","538.0","writing","","","","",""
"","","517.0","writing","","","","",""
"","","534.0","writing","","","","",""
"","","522.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","515.0","writing","","","","",""
"","","500.0","writing","","","","",""
"","","510.0","writing","","","","",""
"","","507.0","writing","","","","",""
"","","512.0","writing","","","","",""
"","","510.0","writing","","","","",""
